country,adm1_pcode,adm1_name,pillar_education,pillar_health,pillar_food_security,pillar_economic,pillar_climate,sepi,n_pillars,sepi_rank,primary_school_net_attendance_total_norm,net_attendance_total_norm,school_access_pop_norm,healthcare_access_pop_norm,health_fac_per_10k_pop_norm,hospitals_per_100k_pop_norm,pop_frac_3plus_norm,poverty_headcount_pct_norm,gcp_pc_norm,rs_ndvi_norm,rs_soil_moist_norm,rs_fapar_norm,rs_pdsi_norm,literacy_percent_total_norm,percent_highest_level_secondary_education_norm,total_expenditure_usd_norm,on_payroll_pct_norm,dropout_pct_norm,annual_cmb_mean_norm
Somalia,SO25,Bakool,0.165256955,0.5,0.75,0.183023119,0.562948175,0.363942753,5,13,0.232183908,,,,1,0,0.25,0.76875,,0.174887105,0.707758355,0.755870936,0.613276305,0.263586957,0,0.134796238,,,
Somalia,SO26,Gedo,0.48583452,0.557292221,0.666666667,0.628520115,0.547582274,0.57365361,5,7,0.32183908,,,,0.62466696,0.489917482,0.333333333,0.329166667,,0.108755645,1,0.693886587,0.387686866,0.777173913,0.358490566,0.586206897,,,
Somalia,SO27,Middle Juba,,0.115514635,0.666666667,,0.443367628,0.324416731,3,15,,,,,0.231029269,0,0.333333333,,,0.212025422,0.98106507,0.356588373,0.223791649,,,,,,
Somalia,SO28,Lower Juba,0.261233867,0.048472029,0.875,0.563926985,0.381773973,0.298890138,5,16,0.149425287,,0.165095909,,0.096944058,0,0.125,0.452083333,,0.305536043,0.755019408,0.31797091,0.148569528,0.494565217,0.235849057,0.579937304,,,
South Sudan,SS01,Central Equatoria,0.576923077,0.764184009,0.333333333,0.719930584,0.386311196,0.52757536,5,4,,,1,0.786748991,0.505803038,1,0.666666667,0.090909091,,0.608314779,0.065605369,0.527598576,0.343726059,,,,0,0.269230769,0.469229741
South Sudan,SS02,Eastern Equatoria,0.549456147,0.416631821,0.538461538,0.77366537,0.719926969,0.585243168,5,2,,,0.263753056,0.263595346,0.580090938,0.406209178,0.461538462,0.363636364,,1,0,0.879707876,1,,,,0.5,0.115384615,0.089032896
South Sudan,SS03,Jonglei,0.373573757,0.034052456,0.205128205,0.412794969,0.335931777,0.204977944,5,9,,,0.120721271,0.093327001,0.008830366,0,0.794871795,1,,0.641226876,0.054549818,0.4535461,0.194404314,,,,0.307692308,0.307692308,0.174410062
South Sudan,SS04,Lakes,0.277984139,0.048907864,0.41025641,0.370870237,0.220115682,0.214617638,5,8,,,0.25702934,0,0,0.146723592,0.58974359,1,,0.310765616,0.104959439,0.393790546,0.070947127,,,,0.230769231,0.653846154,0.258259525
South Sudan,SS05,Northern Bahr el Ghazal,0.394458028,0.498759258,0.256410256,0.460830545,0.179154859,0.334133025,5,6,,,0.183374083,0.753502731,0.578814219,0.163960824,0.743589744,0.727272727,,0.147309451,0.039580778,0.453373878,0.07635533,,,,1,1,0.351066183
South Sudan,SS06,Unity,0.41430788,0.227719063,0,0.321413303,0.25,0.094611796,5,10,,,0.204462103,0.204701971,0.292267163,0.186188057,1,0.727272727,,0,1,0,0,,,,0.192307692,0.153846154,0.629900667
South Sudan,SS07,Upper Nile,0.435536957,0.393892827,0.102564103,0.090909091,0.55365238,0.245159423,5,7,,,0.614303178,0.388031346,0.264954992,0.528692142,0.897435897,0.818181818,,0.789189314,0.294217528,1,0.131202675,,,,0,0.307692308,1
South Sudan,SS08,Warrap,0.423076923,0.15837302,0.564102564,0.48044818,0.258097026,0.342119345,5,5,,,0,0.017573023,0.152644367,0.304901669,0.435897436,0.909090909,,0.163443203,0.296449758,0.49083171,0.081663432,,,,0.653846154,0.384615385,0.130012731
South Sudan,SS09,Western Bahr el Ghazal,0.62844806,0.675054166,0.615384615,0.702196393,0.333153929,0.571704533,5,3,,,0.846882641,1,0.454676283,0.570486213,0.384615385,0,,0.344085378,0.160168406,0.595054355,0.233307576,,,,0.038461538,0,0.595607214
South Sudan,SS10,Western Equatoria,0.685576139,0.511444802,1,0.954545455,0.349176204,0.650937278,5,1,,,0.710574572,0,1,0.534334406,0,0.090909091,,0.449300329,0.213146015,0.523425603,0.210832868,,,,0.5,0.153846154,0
