country,adm1_pcode,adm1_name,primary_school_net_attendance_total,net_attendance_total,school_access_pop,healthcare_access_pop,health_fac_per_10k_pop,hospitals_per_100k_pop,pop_frac_3plus,poverty_headcount_pct,gcp_pc,rs_ndvi,rs_soil_moist,rs_fapar,rs_pdsi,literacy_percent_total,percent_highest_level_secondary_education,total_expenditure_usd,on_payroll_pct,dropout_pct,annual_cmb_mean
Kenya,KE003,Kilifi,61.7,13.9,35.32,78.92,1.545510079,0.549786194,0.05,46.3581,170026,-0.003017851,0.016479996,-3.027402989,-2.450834734,,,,,,
Kenya,KE020,Kirinyaga,52.5,24.1,25.27,98.78,3.569277108,0.903614458,0,10.1199,240007,0.004852284,-0.004996123,0.828565173,-5.576095238,,,,,,
Kenya,KE045,Kisii,55.3,21.5,44.92,100,1.226277372,1.678832117,0,26.702,184985,0.003883389,0.018034561,1.011829991,-0.853802083,,,,,,
Kenya,KE042,Kisumu,54.9,19.4,61.63,98.9,1.565891473,1.860465116,0,16.5818,252108,0.00433749,0.01162896,1.390931107,-0.815983607,,,,,,
Kenya,KE015,Kitui,62.6,18.8,13.05,1.49,3.193010326,1.111993646,0.1,37.0811,133922,0.007648518,0.017231492,1.633576253,-5.101473058,,,,,,
Kenya,KE002,Kwale,62.1,11.1,34.78,62.27,1.214574899,0.4048583,0.1,44.5123,165212,0.000282781,0.022088029,-2.009360704,-2.527284111,,,,,,
Kenya,KE031,Laikipia,55.2,21.4,26.57,34.73,1.886792453,1.372212693,0.05,21.9261,209891,0.012142802,-0.014713952,-2.610918639,-5.59987037,,,,,,
Kenya,KE005,Lamu,60.8,15.3,11.55,13.83,2.613636364,1.704545455,0.15,30.26,259553,0.003445074,0.031396047,1.018078408,-2.833365385,,,,,,
Kenya,KE016,Machakos,56.7,21.4,70.28,76.76,2.345191041,0.592885375,0,18.792,265793,0.010952084,-0.00066305,-1.165770754,-5.640900822,,,,,,
Kenya,KE017,Makueni,59.5,23,35.56,55.68,2.629107981,1.220657277,0.05,25.5705,131864,0.008659608,0.01143174,0.395739871,-5.813959982,,,,,,
Kenya,KE009,Mandera,61.6,18.4,12.41,7.48,0.834160874,0.49652433,0.3,81.3359,68066,0.009690712,0.034828246,4.606215871,-2.178117158,,,,,,
Kenya,KE010,Marsabit,61.6,15.5,22.1,17.39,2.096474954,0.927643785,0.2,63.5606,145730,0.006849986,0.018680038,4.28275552,-2.6361195,,,,,,
Kenya,KE012,Meru,58.5,19.7,27.84,50.39,2.665066026,1.380552221,0.1,29.167,258441,0.009498467,0.011295473,2.532506083,-5.859244949,,,,,,
Kenya,KE044,Migori,57.7,16.6,48.19,93.18,1.69504644,1.315789474,0,33.4521,127059,0.003611851,0.027757771,1.762105151,0.286079418,,,,,,
Kenya,KE001,Mombasa,51.5,18,95.15,100,2.236842105,1.315789474,0,12.8866,471410,-0.002172928,0.013411514,-3.589912153,-2.504666667,,,,,,
Kenya,KE021,Murang'a,55.7,24,28.18,97.31,2.323943662,0.88028169,0,11.379,226394,0.007133737,-0.011624607,1.30366359,-5.756991525,,,,,,
Kenya,KE047,Nairobi,46.7,20.3,99.58,100,1.799836934,0.835711374,0,2.6712,739268,0.007130443,-0.012169475,-1.835352848,-5.229784946,,,,,,
Kenya,KE032,Nakuru,54.6,21.6,60.25,96.11,1.668711656,0.981595092,0,17.7324,275495,0.008057215,-0.02470743,-0.619533707,-4.384107312,,,,,,
Kenya,KE029,Nandi,57.7,19.9,7.53,82.92,2.046843177,0.712830957,0,25.7708,202702,0.004402365,-0.005896049,1.919717151,-1.945119048,,,,,,
Kenya,KE033,Narok,60.9,14.1,17.43,28.09,1.269372694,0.664206642,0.05,43.3427,163774,0.010396187,-0.006583133,1.694171831,-2.760606971,,,,,,
Kenya,KE046,Nyamira,55.5,22.6,36.05,98.8,2.060150376,1.203007519,0,24.82,220630,0.004590038,0.002119627,0.679570921,-1.494878049,,,,,,
Kenya,KE018,Nyandarua,54.6,24.9,65.34,51.92,1.955617198,0.554785021,0,14.8797,265957,0.006500227,-0.034069946,1.634310675,-4.769455338,,,,,,
Kenya,KE019,Nyeri,50.3,25.1,89.04,99.44,4.820393975,1.158748552,0.05,10.3172,287118,0.006860137,-0.021808378,1.5787104,-4.767818471,,,,,,
